,latitude,longitude,status,cat
0,33.64844,-95.56841,Not selected hubs,Hubs
1,33.64124,-96.60666,Not selected hubs,Hubs
2,29.3199,-96.10283,Not selected hubs,Hubs
3,30.75623,-98.6777,selected hubs,Hubs
4,30.84636,-96.98711,Not selected hubs,Hubs
5,27.78539,-97.48694,Not selected hubs,Hubs
6,29.15865,-95.43123,Not selected hubs,Hubs
7,32.61514,-99.81358,selected hubs,Hubs
8,30.63113,-97.66856,Not selected hubs,Hubs
9,32.09099,-96.46175,Not selected hubs,Hubs
10,33.85992,-98.59059,Not selected hubs,Hubs
11,28.80078,-96.99545,selected hubs,Hubs
12,31.31149,-96.89577,Not selected hubs,Hubs
13,33.80926,-98.20263,Not selected hubs,Hubs
14,33.57332,-96.17934,selected hubs,Hubs
15,31.05457,-97.44847,selected hubs,Hubs
16,29.57347,-95.77679,selected hubs,Hubs
17,32.01159,-97.60146,Not selected hubs,Hubs
18,33.63246,-97.14212,Not selected hubs,Hubs
19,32.66522,-98.11879,selected hubs,Hubs
20,27.22154,-97.79276,selected hubs,Hubs
21,28.30487,-97.27077,Not selected hubs,Hubs
22,34.16258,-99.28511,selected hubs,Hubs
23,31.83528,-99.42767,Not selected hubs,Hubs
24,28.79749,-96.04837,Not selected hubs,Hubs
25,29.67922,-96.90505,Not selected hubs,Hubs
26,31.52763,-97.1561,Not selected hubs,Hubs
27,28.97925,-96.64108,Not selected hubs,Hubs
28,28.03355,-97.50889,selected hubs,Hubs
29,31.52048,-96.53385,Not selected hubs,Hubs
30,31.46407,-96.05569,selected hubs,Hubs
31,32.73281,-96.27324,Not selected hubs,Hubs
32,31.12247,-97.89691,Not selected hubs,Hubs
33,30.220353,-97.740436,selected plants,Plants
34,29.676724,-98.635234,Not selected plants,Plants
35,33.760315,-96.559867,Not selected plants,Plants
36,29.53192,-98.286901,Not selected plants,Plants
37,29.688568,-98.562424,Not selected plants,Plants
38,29.575785,-98.029915,Not selected plants,Plants
39,29.3881,-95.0559,Not selected plants,Plants
40,29.594168,-96.486668,Not selected plants,Plants
41,29.231944,-95.188889,Not selected plants,Plants
42,29.424167,-95.190834,Not selected plants,Plants
43,29.090834,-95.36,Not selected plants,Plants
44,29.473984,-95.449242,Not selected plants,Plants
45,32.8,-97.108334,Not selected plants,Plants
46,32.211517,-96.792923,Not selected plants,Plants
47,29.756582,-94.904278,Not selected plants,Plants
48,29.741944,-95.026667,Not selected plants,Plants
49,29.705,-95.015556,Not selected plants,Plants
50,29.671667,-94.916667,Not selected plants,Plants
51,30.060556,-94.058611,Not selected plants,Plants
52,30.028925,-94.124053,Not selected plants,Plants
53,30.012792,-94.027201,Not selected plants,Plants
54,30.073997,-94.071716,Not selected plants,Plants
55,29.993334,-94.169167,Not selected plants,Plants
56,30.058333,-94.044444,Not selected plants,Plants
57,30.508894,-96.709831,Not selected plants,Plants
58,29.834444,-95.104167,Not selected plants,Plants
59,29.818522,-95.126783,Not selected plants,Plants
60,30.58227,-96.25317,Not selected plants,Plants
61,30.31874,-95.43542,Not selected plants,Plants
62,30.315556,-95.384722,Not selected plants,Plants
63,30.2366824,-95.4661326,Not selected plants,Plants
64,29.8796,-95.0739,Not selected plants,Plants
65,32.765335,-96.800463,Not selected plants,Plants
66,32.712289,-96.856592,Not selected plants,Plants
67,32.6889,-96.7296,Not selected plants,Plants
68,32.744603,-96.965072,Not selected plants,Plants
69,32.790571,-96.810466,Not selected plants,Plants
70,32.715541,-96.68755,Not selected plants,Plants
71,32.684168,-96.718334,Not selected plants,Plants
72,32.77694,-96.8725,Not selected plants,Plants
73,32.680834,-96.630001,Not selected plants,Plants
74,32.812656,-96.842743,Not selected plants,Plants
75,32.7388,-96.98243,Not selected plants,Plants
76,29.720194,-95.113333,Not selected plants,Plants
77,29.722222,-95.116389,Not selected plants,Plants
